case,original_claim,old_metric_judgment,diagnostic_judgment,change_type,evidence,historical_behavior
MATH-Keff-definition,"K_eff 33/35 (0.94) in sec_crossdomain.tex:30 (metrics.py numerator included bare, denominator excluded it)",K_eff = 0.9429 quoted as population dispersion,same-basis stats: 33/35 incl bare vs 32/35 excl bare (0.9143); numerator/denominator mismatch flagged,number,"experiment/gsm8k/metrics.py:43,70; artifacts/gsm8k_audit/metrics.json; core.k_stats()",retrospective recomputation; no historical decision changed
MATH-accuracy-range-stale,generated harnesses 0.68-0.87 (sec_crossdomain.tex:33-34),range printed in paper,"metrics.json per_harness_acc: 0.6825-0.915 (top gsm_kimi_s0_g2=0.915, second 0.865); 0.87 matches neither - stale unfinished-run number",number,artifacts/gsm8k_audit/metrics.json; independent recount from run_math500.jsonl,retrospective recomputation
MATH-judge-v2-rescore,archived official_correct (endpoint-merging judge v1),"single judge version, undocumented bracket semantics","judge v2 reproduces all 14400 verdicts: 0 flips (0 FA, 0 FR); latent defect real (synthetic counterexamples) but did not fire (5/14400 rows reach bracket branch)",conclusion support scope,experiment/diagnostics/math_adapter.judge_v2; VERIFICATION_20260915.md clue 1,retrospective; v2 is the versioned rescoring instrument
MATH-union-harm-naming,'union harm 0.8%' with metrics.py semantics; phase2 uses different definition under same name,"one symbol, two definitions",renamed: union_all_fail_rate (MATH 0.8%) vs any_candidate_fail_rate (phase2); neither is router harm,interpretation,experiment/gsm8k/metrics.py:60-64 vs experiment/phase2/metrics.py:66,retrospective renaming
MATH-headroom-decomposition,oracle headroom over bare 4.75pp (400 tasks),headroom over bare only,"best-fixed=bare explicit; headroom=oracle-best-fixed=5.31pp on 320 held-out eval tasks CI [3.1,7.5]; D abstains (all selection scores tie -> abstain-to-bare): no generated member is identifiable better",next evaluation action,math_diagnosis.json report.B/D,retrospective
MATH-no-stable-advantage,none (paper did not claim stability),single-shot matrix only,"C=INSUFFICIENT_EVIDENCE by frozen rule (no matched same-condition repeats); abstention, not 'no difference'",conclusion support scope,math_diagnosis.json report.C,not applicable
MATH-loader-identity,positional task ids + glob loading + silent overwrite mechanisms,0 duplicate keys actually present in frozen archive,"S1 confirms integrity; mechanisms remain structural risks; diagnostics uses explicit manifest + sha256, errors on duplicates",next evaluation action,"experiment/gsm8k/collect.py:186,202,229; metrics.py:31-38",retrospective
BIRD-headroom-cells,corrected_analysis.json primary/core D-A contrasts,cell-contrast CIs with sign-flip reference,18 cells x 4 arms all B=SUPPORTED; mean headroom A=0.099/D=0.079/B=0.094/C=0.083; bare 0.6325; best_fixed is a generated member in every cell; D-A contrast restated per-cell,number + scope,bird_diagnosis.json arm_summary; artifacts/revision_20260910/corrected_analysis.json,retrospective
BIRD-gate-semantics,gated arms B/D structurally exclude prompt strategies (STRATEGY_CONTRACT -> plain -> NO_MECHANISM_declared),earlier drafts read gate contrast as verification effect,admission semantics recorded in S1/A; no gate-verification claim carried; paper already discloses the confound,interpretation already corrected,"experiment/phase2/conformance.py:285-293,245-246; sec_discussion_revision_20260915_insight.tex:13-16",historical paper drafts changed; archive unchanged
BIRD-cost-missing,"logical calls only; no token/fee fields in 153,600 canonical rows",billable cost unrecoverable,E=INSUFFICIENT_EVIDENCE enforced for every BIRD cell and MATH; no billable-cost language permitted,conclusion support scope,bird_diagnosis.json cell_reports.E,not applicable
BIRD-no-repeats,all historical primary rows repeat=0/cache=on,stability untestable,C=INSUFFICIENT_EVIDENCE globally (frozen rule R>=3),conclusion support scope,bird_diagnosis.json C_global,not applicable
MATH-insight-theory-not-in-chain,insight_analysis.json not cited numerically,concepts appear in discussion only,flagged: integrate as discussion-level material or exclude from evidence chain; not a quantitative contribution,manuscript decision pending,artifacts/revision_20260915/insight_analysis/; VERIFICATION_20260915.md clue 6,not applicable
CONTROL-preserved-original-judgment,union_repair 76.0% / union_harm 0.8% pair,union events over bare,CONFIRMED unchanged under explicit union_all_fail_rate definition; recorded as the preserved-original-judgment control,no change (control),artifacts/gsm8k_audit/metrics.json; math_diagnosis.json,not applicable
