archive,member,task,state,verdict
math500,bare,math500_split#100,included,1
math500,bare,math500_split#101,included,1
math500,bare,math500_split#102,included,1
math500,bare,math500_split#103,included,1
math500,bare,math500_split#104,included,1
math500,bare,math500_split#105,included,1
math500,bare,math500_split#106,included,1
math500,bare,math500_split#107,included,1
math500,bare,math500_split#108,included,1
math500,bare,math500_split#109,included,1
math500,bare,math500_split#110,included,1
math500,bare,math500_split#111,included,1
math500,bare,math500_split#112,included,1
math500,bare,math500_split#113,included,1
math500,bare,math500_split#114,included,1
math500,bare,math500_split#115,included,1
math500,bare,math500_split#116,included,1
math500,bare,math500_split#117,included,0
math500,bare,math500_split#118,included,1
math500,bare,math500_split#119,included,1
math500,bare,math500_split#120,included,1
math500,bare,math500_split#121,included,1
math500,bare,math500_split#122,included,1
math500,bare,math500_split#123,included,1
math500,bare,math500_split#124,included,1
math500,bare,math500_split#125,included,1
math500,bare,math500_split#126,included,1
math500,bare,math500_split#127,included,1
math500,bare,math500_split#128,included,1
math500,bare,math500_split#129,included,1
math500,bare,math500_split#130,included,1
math500,bare,math500_split#131,included,1
math500,bare,math500_split#132,included,1
math500,bare,math500_split#133,included,1
math500,bare,math500_split#134,included,1
math500,bare,math500_split#135,included,1
math500,bare,math500_split#136,included,1
math500,bare,math500_split#137,included,1
math500,bare,math500_split#138,included,1
math500,bare,math500_split#139,included,1
math500,bare,math500_split#140,included,1
math500,bare,math500_split#141,included,1
math500,bare,math500_split#142,included,1
math500,bare,math500_split#143,included,1
math500,bare,math500_split#144,included,1
math500,bare,math500_split#145,included,1
math500,bare,math500_split#146,included,1
math500,bare,math500_split#147,included,1
math500,bare,math500_split#148,included,1
math500,bare,math500_split#149,included,1
math500,bare,math500_split#150,included,1
math500,bare,math500_split#151,included,1
math500,bare,math500_split#152,included,1
math500,bare,math500_split#153,included,1
math500,bare,math500_split#154,included,0
math500,bare,math500_split#155,included,1
math500,bare,math500_split#156,included,1
math500,bare,math500_split#157,included,1
math500,bare,math500_split#158,included,1
math500,bare,math500_split#159,included,1
math500,bare,math500_split#160,included,1
math500,bare,math500_split#161,included,1
math500,bare,math500_split#162,included,1
math500,bare,math500_split#163,included,1
math500,bare,math500_split#164,included,1
math500,bare,math500_split#165,included,0
math500,bare,math500_split#166,included,1
math500,bare,math500_split#167,included,1
math500,bare,math500_split#168,included,1
math500,bare,math500_split#169,included,1
math500,bare,math500_split#170,included,1
math500,bare,math500_split#171,included,1
math500,bare,math500_split#172,included,1
math500,bare,math500_split#173,included,1
math500,bare,math500_split#174,included,1
math500,bare,math500_split#175,included,1
math500,bare,math500_split#176,included,1
math500,bare,math500_split#177,included,1
math500,bare,math500_split#178,included,1
math500,bare,math500_split#179,included,1
math500,bare,math500_split#180,included,1
math500,bare,math500_split#181,included,1
math500,bare,math500_split#182,included,1
math500,bare,math500_split#183,included,1
math500,bare,math500_split#184,included,1
math500,bare,math500_split#185,included,1
math500,bare,math500_split#186,included,1
math500,bare,math500_split#187,included,1
math500,bare,math500_split#188,included,1
math500,bare,math500_split#189,included,1
math500,bare,math500_split#190,included,1
math500,bare,math500_split#191,included,1
math500,bare,math500_split#192,included,1
math500,bare,math500_split#193,included,1
math500,bare,math500_split#194,included,1
math500,bare,math500_split#195,included,1
math500,bare,math500_split#196,included,1
math500,bare,math500_split#197,included,1
math500,bare,math500_split#198,included,1
math500,bare,math500_split#199,included,1
math500,bare,math500_split#200,included,1
math500,bare,math500_split#201,included,1
math500,bare,math500_split#202,included,1
math500,bare,math500_split#203,included,1
math500,bare,math500_split#204,included,1
math500,bare,math500_split#205,included,1
math500,bare,math500_split#206,included,1
math500,bare,math500_split#207,included,1
math500,bare,math500_split#208,included,1
math500,bare,math500_split#209,included,1
math500,bare,math500_split#210,included,1
math500,bare,math500_split#211,included,1
math500,bare,math500_split#212,included,1
math500,bare,math500_split#213,included,1
math500,bare,math500_split#214,included,1
math500,bare,math500_split#215,included,1
