harness_id,task_id,v1,v2,final_answer
gsm_deepseek_s0_g1,math500_split#103,0,1,"\lambda\in(3,4]"
gsm_deepseek_s0_g3,math500_split#103,0,1,"(3,4]"
gsm_deepseek_s0_g4,math500_split#103,0,1,"\((3,4]\)"
gsm_deepseek_s0_g5,math500_split#103,0,1,"(3,4]"
gsm_glm_s0_g6,math500_split#103,0,1,"(3,4]"
gsm_kimi_s0_g0,math500_split#103,0,1,"(3,4]"
gsm_minimax_s0_g2,math500_split#103,0,1,"(3,4]"
gsm_minimax_s0_g3,math500_split#103,0,1,"(3,4]"
gsm_minimax_s0_g4,math500_split#103,0,1,"(3,4]"
gsm_minimax_s0_g5,math500_split#103,0,1,"(3,4]"
gsm_minimax_s0_g6,math500_split#103,0,1,"(3,4]"
gsm_qwen_s0_g0,math500_split#103,0,1,"(3,4]"
gsm_qwen_s0_g1,math500_split#103,0,1,"(3,4]"
gsm_qwen_s0_g5,math500_split#103,0,1,"(3,4]"
