id,title,category,venue,year,presentation_or_honor,targeted_structure_read,citation_count,citation_source,citation_retrieved_at,review_numeric_scores_status,acceptance_evidence_url,fulltext_url,honor_url,citation_url,source_file
agent_design_adas,Automated Design of Agentic Systems,accepted_conference,ICLR,2025,Poster,True,331,Semantic Scholar Graph API,2026-09-26T08:04:39.413401+00:00,NOT_VERIFIED,https://proceedings.iclr.cc/paper_files/paper/2025/hash/36b7acf6f6010652b3f2a433774a66fe-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf,https://iclr.cc/virtual/2025/poster/28073,https://www.semanticscholar.org/paper/c9537f656e7d9713fd4108ce7bf512290f48e562,agent_design_sources.json
agent_design_aflow,AFlow: Automating Agentic Workflow Generation,accepted_conference,ICLR,2025,Oral,True,379,Semantic Scholar Graph API,2026-09-26T08:04:39.413401+00:00,NOT_VERIFIED,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5492ecbce4439401798dcd2c90be94cd-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/5492ecbce4439401798dcd2c90be94cd-Paper-Conference.pdf,https://iclr.cc/virtual/2025/events/oral,https://www.semanticscholar.org/paper/53132ea6c107479d4557631299d3ed525109b464,agent_design_sources.json
agent_design_dspy,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,accepted_conference,ICLR,2024,Spotlight Poster,True,1030,Semantic Scholar Graph API,2026-09-26T08:04:39.413401+00:00,NOT_VERIFIED,https://iclr.cc/virtual/2024/poster/17642,https://proceedings.iclr.cc/paper_files/paper/2024/file/f1cf02ce09757f57c3b93c0db83181e0-Paper-Conference.pdf,https://iclr.cc/virtual/2024/poster/17642,https://www.semanticscholar.org/paper/2069aaaa281eb13bcd9330fc4d43f24f6b436a53,agent_design_sources.json
agent_design_react,ReAct: Synergizing Reasoning and Acting in Language Models,accepted_conference,ICLR,2023,In-Person Poster presentation / top 5% paper,True,11549,Semantic Scholar Graph API,2026-09-26T08:04:39.413401+00:00,NOT_VERIFIED,https://iclr.cc/virtual/2023/poster/11003,https://arxiv.org/pdf/2210.03629,https://iclr.cc/virtual/2023/poster/11003,https://www.semanticscholar.org/paper/99832586d55f540f603637e458a292406a0ed75d,agent_design_sources.json
agent_design_reflexion,Reflexion: Language Agents with Verbal Reinforcement Learning,accepted_conference,NeurIPS,2023,Main Conference Track; presentation distinction not verified,False,5426,Semantic Scholar Graph API,2026-09-26T08:07:22.567683+00:00,NOT_VERIFIED,https://proceedings.neurips.cc/paper_files/paper/2023/hash/1b44b878bb782e6954cd888628510e90-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/1b44b878bb782e6954cd888628510e90-Paper-Conference.pdf,,https://www.semanticscholar.org/paper/0671fd553dd670a4e820553a974bc48040ba0819,agent_design_sources.json
agent_design_self_refine,Self-Refine: Iterative Refinement with Self-Feedback,accepted_conference,NeurIPS,2023,Main Conference Track; presentation distinction not verified,True,4755,Semantic Scholar Graph API,2026-09-26T08:07:22.567683+00:00,NOT_VERIFIED,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/91edff07232fb1b55a505a9e9f6c0ff3-Paper-Conference.pdf,,https://www.semanticscholar.org/paper/3aaf6a2cbad5850ad81ab5c163599cb3d523436f,agent_design_sources.json
agent_design_swe_agent,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,accepted_conference,NeurIPS,2024,Main Conference Track; presentation distinction not verified,True,1853,Semantic Scholar Graph API,2026-09-26T08:07:22.567683+00:00,NOT_VERIFIED,https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/5a7c947568c1b1328ccc5230172e1e7c-Paper-Conference.pdf,,https://www.semanticscholar.org/paper/1c3c531fc0fbe79f97f367ed3648de8467caeeaa,agent_design_sources.json
agent_design_toolformer,Toolformer: Language Models Can Teach Themselves to Use Tools,accepted_conference,NeurIPS,2023,Main Conference Track; presentation distinction not verified,False,,,,NOT_VERIFIED,https://proceedings.neurips.cc/paper/2023/hash/d842425e4bf79ba039352da0f658a906-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/d842425e4bf79ba039352da0f658a906-Paper-Conference.pdf,,,agent_design_sources.json
agent_design_agentverse,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,accepted_conference,ICLR,2024,Poster,False,,,,NOT_VERIFIED,https://iclr.cc/virtual/2024/poster/19109,https://openreview.net/pdf?id=EHg5GDnyq1,https://iclr.cc/virtual/2024/poster/19109,,agent_design_sources.json
agent_design_autogen,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversations,accepted_conference,COLM,2024,Accepted; presentation distinction not verified,False,,,,NOT_VERIFIED,https://colmweb.org/2024/AcceptedPapers.html,https://openreview.net/attachment?id=BAakY1hNKS&name=pdf,,,agent_design_sources.json
agent_design_gepa,GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,accepted_conference,ICLR,2026,Accepted; presentation distinction not verified,True,398,Semantic Scholar Graph API,2026-09-26T08:07:22.567683+00:00,NOT_VERIFIED,https://proceedings.iclr.cc/paper_files/paper/2026/hash/0e9e708b6f48e14fd0ac29e167413f76-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2026/file/0e9e708b6f48e14fd0ac29e167413f76-Paper-Conference.pdf,,https://www.semanticscholar.org/paper/f1c0aad419cd942d5a135b47fcce58d101dbb3bd,agent_design_sources.json
agent_design_dei,Diversity Empowers Intelligence: Integrating Expertise of Software Engineering Agents,accepted_conference,ICLR,2025,Accepted; presentation distinction not verified,True,,,,NOT_VERIFIED,https://proceedings.iclr.cc/paper_files/paper/2025/hash/d7b50b8ac2c781a12f26155f48310d8d-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/d7b50b8ac2c781a12f26155f48310d8d-Paper-Conference.pdf,,,agent_design_sources.json
sampling_selection_S1,Self-Consistency Improves Chain of Thought Reasoning in Language Models,accepted_conference,ICLR,2023,Virtual presentation / poster accept,False,7730,Semantic Scholar Graph API,2026-09-26T08:04:39.413401+00:00,NOT_VERIFIED,https://iclr.cc/virtual/2023/poster/11718,https://arxiv.org/pdf/2203.11171,,https://www.semanticscholar.org/paper/5f19ae1135a9500940978104ec15a5b8751bc7d2,sampling_selection_sources.json
sampling_selection_S2,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,accepted_conference,NeurIPS,2023,MAIN_CONFERENCE_PRESENTATION_UNVERIFIED,True,4940,Semantic Scholar Graph API,2026-09-26T08:07:22.567683+00:00,NOT_VERIFIED,https://proceedings.neurips.cc/paper/2023/hash/271db9922b8d1f4dd7aaef84ed5ac703-Abstract.html,https://proceedings.neurips.cc/paper/2023/file/271db9922b8d1f4dd7aaef84ed5ac703-Paper-Conference.pdf,,https://www.semanticscholar.org/paper/2f3822eb380b5e753a6d579f31dfc3ec4c4a0820,sampling_selection_sources.json
sampling_selection_S3,Scaling LLM Test-Time Compute Optimally Can be More Effective than Scaling Parameters for Reasoning,accepted_conference,ICLR,2025,Oral,True,2192,Semantic Scholar Graph API,2026-09-26T08:04:39.413401+00:00,NOT_VERIFIED,https://iclr.cc/virtual/2025/oral/31924,https://proceedings.iclr.cc/paper_files/paper/2025/file/1b623663fd9b874366f3ce019fdfdd44-Paper-Conference.pdf,,https://www.semanticscholar.org/paper/8292083dd8f6ae898ea0ee54a6b97997d1a51c9d,sampling_selection_sources.json
sampling_selection_S4,RouteLLM: Learning to Route LLMs from Preference Data,accepted_conference,ICLR,2025,Poster,True,710,Semantic Scholar Graph API,2026-09-26T08:04:39.413401+00:00,NOT_VERIFIED,https://iclr.cc/virtual/2025/poster/30737,https://proceedings.iclr.cc/paper_files/paper/2025/file/5503a7c69d48a2f86fc00b3dc09de686-Paper-Conference.pdf,,https://www.semanticscholar.org/paper/9b3239cff17327960804098e33e1ca903e7b9e85,sampling_selection_sources.json
sampling_selection_S5,GraphRouter: A Graph-based Router for LLM Selections,accepted_conference,ICLR,2025,Poster,False,,,,NOT_VERIFIED,https://iclr.cc/virtual/2025/poster/28926,https://arxiv.org/abs/2410.03834,,,sampling_selection_sources.json
sampling_selection_S6,How Do Large Language Monkeys Get Their Power (Laws)?,accepted_conference,ICML,2025,ACCEPTED_PRESENTATION_UNVERIFIED,True,,,,NOT_VERIFIED,https://proceedings.mlr.press/v267/schaeffer25a.html,https://arxiv.org/pdf/2502.17578,,,sampling_selection_sources.json
sampling_selection_S7,Scaling Test-Time Compute Without Verification or RL is Suboptimal,accepted_conference,ICML,2025,ACCEPTED_PRESENTATION_UNVERIFIED,False,,,,NOT_VERIFIED,https://proceedings.mlr.press/v267/setlur25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/setlur25a/setlur25a.pdf,,,sampling_selection_sources.json
